Date,Open,High,Low,Close,Volume
11/13/2024,84.99,85.79,84.77,85.5,"12,802,620"
11/12/2024,84.5,85.53,84.5,84.99,"12,860,190"
11/11/2024,84.95,85.41,84.12,84.21,"10,433,170"
11/08/2024,84.28,85.42,84.23,84.83,"14,396,540"
11/07/2024,83.72,84.39,83.42,83.85,"12,665,780"
11/06/2024,85.14,85.54,82.06,83.44,"19,974,039"
11/05/2024,82.68,83.77,82.51,83.68,"10,612,490"
11/04/2024,82.2,82.91,82.0,82.45,"11,731,040"
11/01/2024,82.53,82.53,81.54,82.19,"12,181,830"
10/31/2024,81.29,82.44,81.22,81.95,"15,538,970"
10/30/2024,81.6,81.83,81.3,81.39,"9,268,824"
10/29/2024,82.67,82.86,81.67,81.7,"9,682,403"
10/28/2024,82.75,83.08,82.47,82.75,"7,990,186"
10/25/2024,83.2,83.3,82.44,82.51,"8,959,412"
10/24/2024,82.96,83.32,82.58,83.04,"11,645,860"
10/23/2024,81.89,83.34,81.8,83.27,"13,058,240"
10/22/2024,81.11,82.23,80.83,82.02,"12,240,150"
10/21/2024,81.23,81.55,80.72,80.81,"9,750,376"
10/18/2024,80.87,81.69,80.66,81.31,"12,324,150"
10/17/2024,81.27,81.5,80.65,80.89,"9,424,705"
10/16/2024,81.53,81.66,80.62,81.22,"11,123,250"
10/15/2024,80.67,81.82,80.51,81.65,"13,276,220"
10/14/2024,80.05,80.51,79.76,80.29,"9,914,477"
10/11/2024,79.7,80.13,79.37,80.1,"9,570,734"
10/10/2024,80.31,80.32,79.46,79.61,"10,812,700"
10/09/2024,79.82,80.5,79.75,80.4,"12,413,030"
10/08/2024,79.62,79.82,79.07,79.71,"15,269,960"
10/07/2024,80.69,80.94,78.98,79.1,"16,791,650"
10/04/2024,80.05,81.12,79.85,80.94,"11,591,390"
10/03/2024,80.3,80.58,79.85,80.43,"11,640,420"
10/02/2024,80.99,80.99,80.12,80.43,"16,618,270"
10/01/2024,80.68,81.53,80.44,81.27,"16,054,250"
09/30/2024,79.89,80.94,79.86,80.75,"19,008,189"
09/27/2024,79.9,80.29,79.6,79.78,"11,899,050"
09/26/2024,81.04,81.2,79.26,79.92,"17,061,131"
09/25/2024,80.89,81.6,80.68,81.4,"14,163,790"
09/24/2024,80.48,80.91,80.24,80.67,"14,651,130"
09/23/2024,79.07,80.44,79.07,80.33,"12,147,260"
09/20/2024,78.23,79.61,78.11,79.06,"39,534,246"
09/19/2024,79.05,79.09,77.49,78.04,"21,525,689"
09/18/2024,78.64,79.41,78.28,79.03,"15,684,880"
09/17/2024,79.76,80.26,78.26,78.6,"21,065,939"
09/16/2024,80.84,81.02,80.14,80.56,"15,346,370"
09/13/2024,79.82,80.69,79.69,80.6,"12,994,100"
09/12/2024,78.99,79.91,78.62,79.66,"14,884,850"
09/11/2024,78.38,78.92,77.57,78.84,"19,518,760"
09/10/2024,77.35,78.9,77.28,78.81,"17,686,279"
09/09/2024,76.85,77.47,76.49,77.34,"22,260,230"
09/06/2024,76.9,77.32,76.3,76.64,"14,548,590"
09/05/2024,77.25,77.45,76.39,76.96,"13,082,890"
09/04/2024,77.33,77.48,76.73,77.24,"18,442,779"
09/03/2024,77.33,77.81,76.8,77.17,"22,660,700"
09/02/2024,77.23,77.23,77.23,77.23,0
08/30/2024,76.44,77.48,76.22,77.23,"23,229,980"
08/29/2024,75.99,76.47,75.67,76.42,"11,856,790"
08/28/2024,76.28,76.43,75.81,76.08,"9,814,264"
08/27/2024,76.45,76.45,75.77,76.13,"11,557,760"
08/26/2024,75.9,76.21,75.57,76.03,"9,508,215"
08/23/2024,75.6,75.81,75.01,75.7,"12,299,090"
08/22/2024,75.37,76.22,75.15,75.58,"16,511,141"
08/21/2024,75.3,75.58,74.59,75.24,"14,831,990"
08/20/2024,73.75,74.75,73.72,74.54,"14,433,990"
08/19/2024,73.39,73.98,73.34,73.72,"13,709,270"
08/16/2024,72.7,73.61,72.52,73.45,"19,872,141"
08/15/2024,74.12,74.44,72.78,73.18,"49,567,500"
08/14/2024,67.92,68.79,67.85,68.66,"22,928,551"
08/13/2024,68.43,68.61,67.14,68.13,"26,557,900"
08/12/2024,68.34,69.23,68.07,68.7,"17,385,279"
08/09/2024,67.85,68.22,67.33,67.95,"13,805,580"
08/08/2024,66.84,67.92,66.67,67.66,"12,489,820"
08/07/2024,67.87,68.01,66.81,66.91,"18,499,199"
08/06/2024,67.84,68.63,67.68,67.74,"14,815,070"
08/05/2024,68.1,68.58,66.91,67.59,"20,770,461"
08/02/2024,69.6,70.24,67.74,68.46,"23,578,660"
08/01/2024,68.91,69.8,68.52,69.79,"17,275,529"
07/31/2024,69.18,69.25,68.29,68.64,"22,908,760"
07/30/2024,69.55,69.85,68.98,69.19,"12,522,470"
07/29/2024,69.85,69.9,69.13,69.62,"10,315,310"
07/26/2024,70.23,70.24,68.83,69.78,"16,789,311"
07/25/2024,70.6,70.77,69.95,70.02,"18,821,199"
07/24/2024,70.52,70.84,70.34,70.6,"22,490,779"
07/23/2024,70.47,70.7,70.11,70.65,"9,263,561"
07/22/2024,70.86,71.26,70.23,70.38,"12,666,130"
07/19/2024,71.2,71.33,70.65,70.75,"11,665,530"
07/18/2024,70.68,71.19,70.43,70.82,"10,682,740"
07/17/2024,70.18,71.1,69.95,71.03,"13,533,790"
07/16/2024,69.82,70.24,69.58,69.99,"9,836,824"
07/15/2024,69.3,69.98,69.3,69.61,"10,171,140"
07/12/2024,69.9,70.03,69.17,69.24,"12,145,320"
07/11/2024,70.18,70.45,69.26,69.8,"15,624,800"
07/10/2024,70.1,70.44,69.72,70.41,"10,803,410"
07/09/2024,69.9,70.25,69.67,69.9,"9,781,831"
07/08/2024,69.9,70.14,69.35,69.68,"12,077,680"
07/05/2024,68.16,70.15,68.1,70.04,"21,586,100"
07/03/2024,67.81,68.25,67.62,68.24,"6,287,545"
07/02/2024,67.44,68.09,67.26,68.07,"9,436,487"
07/01/2024,67.89,68.24,67.25,67.48,"8,666,021"
06/28/2024,67.87,68.1,67.32,67.71,"18,816,721"
06/27/2024,68.29,68.58,67.67,67.88,"12,899,190"
06/26/2024,67.4,68.6,67.21,68.29,"14,177,520"
06/25/2024,67.17,67.59,66.55,67.42,"20,904,039"
06/24/2024,68.05,69.04,67.9,68.9,"12,470,450"
06/21/2024,68.26,68.55,67.83,67.91,"25,891,529"
06/20/2024,67.35,68.13,67.3,68.01,"13,860,760"
06/18/2024,67.63,67.87,67.3,67.6,"12,093,550"
06/17/2024,66.92,67.44,66.41,67.42,"12,103,040"
06/14/2024,66.54,67.11,66.3,67.02,"12,590,150"
06/13/2024,66.3,66.76,65.95,66.7,"11,196,600"
06/15/2026,119.74,121.49,118.58,120.82,"20,722,461"
06/12/2026,120.59,121.61,119.53,121.04,"14,770,840"
06/11/2026,120.57,121.86,119.46,120.5,"22,438,029"
06/10/2026,119.71,120.82,117.53,120.59,"22,414,869"
06/09/2026,120.38,120.5,118.0,118.88,"23,959,000"
06/08/2026,118.25,120.18,118.15,119.83,"19,514,141"
06/05/2026,118.35,120.89,118.1,118.88,"36,638,141"
