Date,Open,High,Low,Close,Volume
10/18/2024,138.67,138.9,137.28,138.0,"176,090,203"
10/17/2024,139.34,140.89,136.87,136.93,"306,435,906"
10/16/2024,133.98,136.62,131.58,135.72,"264,879,688"
10/15/2024,137.87,138.57,128.74,131.6,"377,831,000"
10/14/2024,136.47,139.6,136.3,138.07,"232,347,703"
10/11/2024,134.01,135.78,133.66,134.8,"170,209,500"
10/10/2024,131.91,135.0,131.0,134.81,"242,311,297"
10/09/2024,134.11,134.52,131.38,132.65,"246,191,594"
10/08/2024,130.26,133.48,129.42,132.89,"285,722,500"
10/07/2024,124.99,130.64,124.95,127.72,"346,250,219"
10/04/2024,124.94,125.04,121.83,124.92,"244,465,594"
10/03/2024,120.92,124.36,120.34,122.85,"277,118,031"
10/02/2024,116.44,119.38,115.14,118.85,"221,845,906"
10/01/2024,121.77,122.44,115.79,117.0,"302,094,500"
09/30/2024,118.31,121.5,118.15,121.44,"227,053,703"
09/27/2024,123.97,124.03,119.26,121.4,"271,009,219"
09/26/2024,126.8,127.67,121.8,124.04,"302,582,906"
09/25/2024,122.02,124.94,121.61,123.51,"284,692,906"
09/24/2024,116.52,121.8,115.38,120.87,"354,966,781"
09/23/2024,116.55,116.99,114.86,116.26,"206,228,500"
09/20/2024,117.06,118.62,115.39,116.0,"382,462,406"
09/19/2024,117.35,119.66,117.25,117.87,"293,506,406"
09/18/2024,115.89,117.7,113.22,113.37,"310,318,906"
09/17/2024,118.17,118.8,114.83,115.59,"231,925,906"
09/16/2024,116.79,118.18,114.36,116.78,"248,772,297"
09/13/2024,119.08,119.96,117.6,119.1,"238,358,297"
09/12/2024,116.84,120.79,115.38,119.14,"367,100,500"
09/11/2024,109.39,117.19,107.42,116.91,"441,422,406"
09/10/2024,107.81,109.4,104.95,108.1,"268,283,688"
09/09/2024,104.88,106.55,103.69,106.47,"273,912,000"
09/06/2024,108.04,108.15,100.95,102.83,"413,638,125"
09/05/2024,104.99,109.65,104.76,107.21,"306,850,688"
09/04/2024,105.41,113.27,104.12,106.21,"372,470,312"
09/03/2024,116.01,116.21,107.29,108.0,"474,972,000"
08/30/2024,119.53,121.75,117.22,119.37,"333,751,625"
08/29/2024,121.36,124.43,116.71,117.59,"453,023,281"
08/28/2024,128.12,128.33,122.64,125.61,"448,101,094"
08/27/2024,125.05,129.2,123.88,128.3,"303,134,594"
08/26/2024,129.57,131.26,124.37,126.46,"331,964,719"
08/23/2024,125.86,129.6,125.22,129.37,"323,230,312"
08/22/2024,130.02,130.75,123.1,123.74,"376,189,094"
08/21/2024,127.32,129.35,126.66,128.5,"257,883,594"
08/20/2024,128.4,129.88,125.89,127.25,"300,087,406"
08/19/2024,124.28,130.0,123.42,130.0,"318,333,594"
08/16/2024,121.94,125.0,121.18,124.58,"302,589,875"
08/15/2024,118.76,123.24,117.47,122.86,"318,086,688"
08/14/2024,118.53,118.6,114.07,118.08,"339,246,406"
08/13/2024,112.44,116.23,111.58,116.14,"312,646,688"
08/12/2024,106.32,111.07,106.26,109.02,"325,559,906"
08/09/2024,105.64,106.6,103.43,104.75,"290,844,188"
08/08/2024,102.0,105.5,97.52,104.97,"391,910,031"
08/07/2024,107.81,108.8,98.69,98.91,"411,440,375"
08/06/2024,103.84,107.71,100.55,104.25,"409,012,094"
08/05/2024,92.06,103.41,90.69,100.45,"552,842,375"
08/02/2024,103.76,108.72,101.37,107.27,"482,027,500"
08/01/2024,117.53,120.16,106.81,109.21,"523,462,312"
07/31/2024,112.9,118.34,110.88,117.02,"473,174,219"
07/30/2024,111.52,111.99,102.54,103.73,"486,833,312"
07/29/2024,113.69,116.28,111.3,111.59,"248,152,094"
07/26/2024,116.19,116.2,111.58,113.06,"293,399,094"
07/25/2024,113.04,116.63,106.3,112.28,"460,067,000"
07/24/2024,119.17,119.95,113.44,114.25,"327,776,906"
07/23/2024,122.78,124.69,122.1,122.59,"173,911,016"
07/22/2024,120.35,124.07,119.86,123.54,"258,068,891"
07/19/2024,120.35,121.6,117.37,117.93,"217,223,812"
07/18/2024,121.85,122.4,116.56,121.09,"320,979,500"
07/17/2024,121.35,121.85,116.72,117.99,"390,086,219"
07/16/2024,128.44,129.04,124.58,126.36,"214,769,500"
07/15/2024,130.56,131.39,127.18,128.44,"208,326,203"
07/12/2024,128.26,131.92,127.22,129.24,"252,680,500"
07/11/2024,135.75,136.15,127.05,127.4,"374,782,688"
