Date,Open,High,Low,Close
12/16/2024,106.95,107.17,106.75,106.86
12/13/2024,106.97,107.19,106.72,107.0
12/12/2024,106.57,107.04,106.35,106.96
12/11/2024,106.37,106.81,106.27,106.71
12/10/2024,106.18,106.64,106.04,106.4
12/09/2024,105.97,106.21,105.8,106.15
12/06/2024,105.79,106.16,105.42,106.06
12/05/2024,106.34,106.37,105.7,105.71
12/04/2024,106.43,106.72,106.09,106.32
12/03/2024,106.48,106.6,106.09,106.37
12/02/2024,105.83,106.73,105.82,106.45
11/29/2024,105.95,106.13,105.62,105.74
11/28/2024,106.82,106.92,105.86,106.08
11/27/2024,106.82,106.92,105.86,106.08
11/26/2024,107.49,107.5,106.49,107.01
11/25/2024,107.49,107.25,106.58,106.82
11/22/2024,107.06,108.07,106.92,107.55
11/21/2024,106.59,107.16,106.46,106.97
11/20/2024,106.12,106.92,106.11,106.68
11/19/2024,106.26,106.63,106.11,106.21
11/18/2024,106.67,106.81,106.13,106.28
11/15/2024,106.9,106.96,106.33,106.69
11/14/2024,106.5,107.06,106.38,106.67
11/13/2024,106.02,106.54,105.72,106.48
11/12/2024,105.49,106.18,105.49,106.02
11/11/2024,105.01,105.71,104.93,105.54
11/08/2024,104.45,105.21,104.34,105.0
11/07/2024,105.16,105.25,104.19,104.51
11/06/2024,103.7,105.44,104.04,105.09
11/05/2024,103.91,103.96,103.37,103.42
11/04/2024,103.93,103.97,103.58,103.89
11/01/2024,103.86,104.35,103.68,104.28
10/31/2024,104.09,104.22,103.82,103.98
10/30/2024,104.25,104.44,103.98,103.99
10/29/2024,104.31,104.64,104.21,104.32
10/28/2024,104.32,104.57,104.12,104.32
10/25/2024,104.05,104.34,103.94,104.26
10/24/2024,104.43,104.46,104.01,104.06
10/23/2024,104.09,104.57,104.09,104.43
10/22/2024,103.97,104.13,103.82,104.08
10/21/2024,103.48,104.02,103.42,104.01
10/18/2024,103.81,103.81,103.46,103.49
10/17/2024,103.56,103.87,103.44,103.83
10/16/2024,103.26,103.61,103.17,103.59
10/15/2024,103.21,103.35,103.03,103.26
10/14/2024,102.93,103.36,102.93,103.3
10/11/2024,102.88,102.99,102.77,102.89
10/10/2024,102.88,103.18,102.72,102.99
10/09/2024,102.49,102.94,102.46,102.93
10/08/2024,102.46,102.64,102.29,102.55
10/07/2024,102.49,102.62,102.37,102.54
10/04/2024,101.91,102.69,101.81,102.52
10/03/2024,101.64,102.1,101.63,101.99
10/02/2024,101.24,101.69,101.16,101.68
10/01/2024,100.74,101.39,100.7,101.19
09/30/2024,100.44,100.92,100.18,100.78
09/27/2024,100.59,100.88,100.16,100.38
09/26/2024,100.93,100.97,100.48,100.91
09/25/2024,100.28,100.99,100.22,100.91
09/24/2024,100.97,101.05,100.34,100.47
09/23/2024,100.74,101.23,100.72,100.85
09/20/2024,100.69,101.02,100.41,100.72
09/19/2024,101.01,101.47,100.52,100.61
09/18/2024,100.94,101.15,100.22,100.6
09/17/2024,100.76,101.03,100.57,100.89
09/16/2024,101.04,101.1,100.59,100.76
09/13/2024,101.2,101.2,100.88,101.11
09/12/2024,101.78,101.84,101.23,101.37
09/11/2024,101.66,101.82,101.27,101.68
09/10/2024,101.64,101.77,101.54,101.63
09/09/2024,101.19,101.7,101.14,101.55
09/06/2024,101.06,101.4,100.58,101.18
09/05/2024,101.28,101.37,100.96,101.11
09/04/2024,101.69,101.78,101.24,101.36
09/03/2024,101.66,101.92,101.56,101.83
09/02/2024,101.38,101.78,101.25,101.7
08/30/2024,101.38,101.78,101.25,101.7
08/29/2024,101.0,101.58,100.89,101.34
08/28/2024,100.55,101.18,100.57,101.09
08/27/2024,100.82,100.93,100.51,100.55
08/26/2024,100.66,100.92,100.53,100.85
08/23/2024,101.46,101.55,100.6,100.72
08/22/2024,101.13,101.63,101.09,101.51
08/21/2024,101.35,101.63,100.92,101.04
08/20/2024,101.88,102.01,101.36,101.44
08/19/2024,102.4,102.48,101.85,101.89
08/16/2024,103.04,103.05,102.39,102.46
08/15/2024,102.63,103.23,102.54,102.98
08/14/2024,102.61,102.72,102.27,102.57
08/13/2024,103.09,103.27,102.55,102.56
08/12/2024,103.15,103.31,103.09,103.14
08/09/2024,103.27,103.3,103.03,103.14
08/08/2024,103.09,103.55,102.92,103.21
08/07/2024,102.95,103.37,102.92,103.2
08/06/2024,102.78,103.23,102.7,102.97
08/05/2024,102.62,103.28,102.16,102.69
08/02/2024,104.31,104.43,103.13,103.21
08/01/2024,104.07,104.45,103.86,104.42
07/31/2024,104.43,104.53,103.93,104.1
07/30/2024,104.56,104.8,104.45,104.55
07/29/2024,104.33,104.75,104.14,104.56
07/26/2024,104.36,104.45,104.21,104.32
07/25/2024,104.38,104.46,104.08,104.36
07/24/2024,104.48,104.56,104.12,104.39
07/23/2024,104.31,104.54,104.2,104.45
07/22/2024,104.34,104.42,104.18,104.31
07/19/2024,104.16,104.42,104.13,104.4
07/18/2024,103.7,104.23,103.65,104.17
07/17/2024,104.22,104.29,103.65,103.75
07/16/2024,104.25,104.51,104.2,104.27
07/15/2024,104.08,104.32,104.03,104.19
07/12/2024,104.52,104.55,104.04,104.09
07/11/2024,104.99,105.0,104.08,104.44
07/10/2024,105.12,105.17,104.98,105.05
07/09/2024,104.99,105.21,104.96,105.13
07/08/2024,104.88,105.03,104.8,105.0
07/05/2024,105.17,105.17,104.83,104.88
07/04/2024,105.32,105.36,105.1,105.13
07/03/2024,105.67,105.8,105.05,105.4
07/02/2024,105.85,106.05,105.66,105.72
07/01/2024,105.7,105.98,105.43,105.9
06/28/2024,105.92,106.13,105.75,105.87
06/27/2024,106.07,106.08,105.71,105.91
06/26/2024,105.66,106.13,105.61,106.05
06/25/2024,105.51,105.78,105.37,105.61
06/24/2024,105.83,105.9,105.37,105.47
06/21/2024,105.64,105.92,105.54,105.8
06/20/2024,105.2,105.67,105.2,105.59
06/19/2024,105.26,105.34,105.15,105.25
06/18/2024,105.3,105.56,105.13,105.26
06/17/2024,105.51,105.65,105.31,105.32
06/14/2024,105.23,105.81,105.18,105.55
06/13/2024,104.69,105.28,104.64,105.2
06/15/2026,99.54,99.71,99.38,99.63
06/12/2026,99.67,99.91,99.64,99.75
06/11/2026,100.12,100.31,99.59,99.86
06/10/2026,100.01,100.09,99.72,99.95
06/09/2026,100.03,100.08,99.68,99.91
06/08/2026,100.15,100.21,99.82,100.05
06/05/2026,99.43,100.11,99.16,100.07
06/04/2026,99.46,99.53,99.18,99.41
06/03/2026,99.29,99.55,99.19,99.53
06/02/2026,99.17,99.33,99.05,99.22
06/01/2026,98.96,99.39,98.92,99.2
05/29/2026,99.0,99.19,98.75,98.91
05/28/2026,99.27,99.54,98.95,99.02
05/27/2026,99.08,99.26,98.97,99.21
05/26/2026,98.99,99.25,99.01,99.17
05/25/2026,99.2,99.41,99.17,99.24
05/22/2026,99.2,99.41,99.17,99.24
05/21/2026,99.12,99.52,99.06,99.26
05/20/2026,99.27,99.47,98.97,99.09
05/19/2026,98.97,99.43,98.97,99.33
05/18/2026,99.28,99.41,98.94,99.19
05/15/2026,98.93,99.32,98.92,99.28
05/14/2026,98.46,98.91,98.42,98.82
05/13/2026,98.31,98.6,98.26,98.52
05/12/2026,97.96,98.46,97.95,98.3
05/11/2026,98.04,98.15,97.85,97.96
05/08/2026,98.25,98.28,97.83,97.9
05/07/2026,98.03,98.28,97.82,98.07
05/06/2026,98.31,98.34,97.63,98.02
05/05/2026,98.47,98.58,98.31,98.44
05/04/2026,98.05,98.54,97.97,98.37
05/01/2026,98.13,98.24,97.72,98.16
04/30/2026,98.85,99.09,98.01,98.06
04/29/2026,98.61,99.05,98.57,98.96
04/28/2026,98.47,98.87,98.43,98.64
04/27/2026,99.33,99.34,98.21,98.5
04/24/2026,98.82,98.92,98.49,98.53
04/23/2026,98.62,98.94,98.53,98.77
04/22/2026,98.4,98.64,98.21,98.59
